0 659
 1.21972 0.443942 0
 1.22959 0.451881 0
 1.21693 0.451537 0
 1.22488 0.458835 0
 1.22345 0.46265 0
 1.22947 0.469314 0
 1.2336 0.475301 0
 1.22652 0.476969 0
 1.21758 0.477866 0
 1.22353 0.484605 0
 1.22201 0.488416 0
 1.22048 0.492222 0
 1.21894 0.496023 0
 1.22294 0.502099 0
 1.15855 0.479885 0
 1.05186 0.43954 0
 0.973079 0.410187 0
 0.946028 0.402261 0
 0.909847 0.390229 0
 0.897612 0.388299 0
 0.907397 0.395893 0
 0.869546 0.382609 0
 0.868349 0.385318 0
 0.879923 0.39374 0
 0.865931 0.390723 0
 0.864709 0.39342 0
 0.854389 0.391943 0
 0.82775 0.38285 0
 0.826553 0.385428 0
 0.825347 0.388002 0
 0.818712 0.388003 0
 0.808476 0.386242 0
 0.812674 0.391363 0
 0.81145 0.393894 0
 0.804829 0.393784 0
 0.808979 0.398944 0
 0.802359 0.398793 0
 0.801112 0.401292 0
 0.794501 0.401083 0
 0.791465 0.40265 0
 0.791986 0.406028 0
 0.790717 0.408494 0
 0.792988 0.412803 0
 0.793468 0.416202 0
 0.778022 0.411196 0
 0.776736 0.413619 0
 0.784255 0.420766 0
 0.78294 0.423208 0
 0.772835 0.420864 0
 0.775027 0.425194 0
 0.777198 0.429542 0
 0.777603 0.432936 0
 0.774506 0.434379 0
 0.767924 0.433839 0
 0.77526 0.441176 0
 0.773881 0.44359 0
 0.772495 0.446 0
 0.779746 0.453433 0
 0.78178 0.457882 0
 0.773459 0.456252 0
 0.784069 0.465811 0
 0.777465 0.465172 0
 0.776011 0.467592 0
 0.77455 0.470009 0
 0.773082 0.47242 0
 0.776715 0.477972 0
 0.773522 0.479337 0
 0.773721 0.482804 0
 0.777293 0.488406 0
 0.775767 0.490826 0
 0.774233 0.493241 0
 0.767642 0.492412 0
 0.774504 0.500228 0
 0.772941 0.502639 0
 0.774717 0.507237 0
 0.773133 0.509649 0
 0.771541 0.512056 0
 0.77493 0.517792 0
 0.778291 0.523553 0
 0.781623 0.529341 0
 0.775012 0.528394 0
 0.778308 0.534203 0
 0.77664 0.536626 0
 0.774963 0.539044 0
 0.781471 0.547192 0
 0.776492 0.54732 0
 0.797619 0.565941 0
 0.906521 0.647468 0
 0.959711 0.689985 0
 1.64453 1.19013 0
 1.6683 1.21527 0
 1.68224 1.23347 0
 1.67839 1.23871 0
 1.68576 1.25228 0
 1.68185 1.25753 0
 1.67792 1.26277 0
 1.68354 1.27524 0
 1.67956 1.28048 0
 1.68508 1.29301 0
 1.68263 1.29948 0
 1.68804 1.31208 0
 1.6808 1.31487 0
 1.67669 1.3201 0
 0.611341 0.484419 0
 0.56761 0.452654 0
 0.567756 0.455672 0
 0.46209 0.373241 0
 0.465581 0.378464 0
 0.464399 0.379913 0
 0.463213 0.381358 0
 0.462022 0.3828 0
 0.45161 0.376553 0
 0.450434 0.377959 0
 0.449254 0.379361 0
 0.438925 0.372989 0
 0.437761 0.374355 0
 0.436592 0.375718 0
 0.435419 0.377076 0
 0.434241 0.378432 0
 0.43306 0.379783 0
 0.431874 0.381131 0
 0.420216 0.373179 0
 0.419051 0.374487 0
 0.417882 0.375791 0
 0.416708 0.377092 0
 0.415531 0.378389 0
 0.41435 0.379682 0
 0.404342 0.372837 0
 0.392916 0.364573 0
 0.391778 0.365795 0
 0.390636 0.367015 0
 0.38949 0.36823 0
 0.38834 0.369442 0
 0.387187 0.370651 0
 0.38603 0.371856 0
 0.384869 0.373057 0
 0.383705 0.374255 0
 0.373972 0.367043 0
 0.372826 0.368207 0
 0.371677 0.369367 0
 0.370524 0.370524 0
 0.369367 0.371677 0
 0.359775 0.364288 0
 0.367043 0.373972 0
 0.36029 0.369387 0
 0.359137 0.370508 0
 0.357981 0.371626 0
 0.352672 0.368406 0
 0.355657 0.37385 0
 0.35449 0.374957 0
 0.35332 0.37606 0
 0.349416 0.374235 0
 0.346888 0.373857 0
 0.345721 0.374936 0
 0.347253 0.378961 0
 0.346071 0.380041 0
 0.340859 0.376669 0
 0.339683 0.377729 0
 0.337171 0.377295 0
 0.335994 0.378344 0
 0.34143 0.386887 0
 0.337585 0.384942 0
 0.337698 0.3875 0
 0.328633 0.379479 0
 0.332667 0.386566 0
 0.323661 0.378481 0
 0.32248 0.379487 0
 0.322586 0.382019 0
 0.318823 0.379958 0
 0.331726 0.397847 0
 0.32538 0.392719 0
 0.31907 0.387555 0
 0.326725 0.399383 0
 0.322956 0.397296 0
 0.321716 0.3983 0
 0.319221 0.397741 0
 0.31798 0.398734 0
 0.32543 0.410696 0
 0.315488 0.400708 0
 0.33149 0.423743 0
 0.321576 0.413721 0
 0.320285 0.414721 0
 0.318991 0.415717 0
 0.326182 0.427843 0
 0.324847 0.428857 0
 0.323509 0.429868 0
 0.324563 0.434077 0
 0.323208 0.435087 0
 0.321851 0.436092 0
 0.32522 0.443545 0
 0.327369 0.449406 0
 0.322449 0.445563 0
 0.321059 0.446566 0
 0.323153 0.452447 0
 0.325213 0.458345 0
 0.324935 0.460991 0
 0.325791 0.465278 0
 0.32434 0.466292 0
 0.322885 0.4673 0
 0.321427 0.468304 0
 0.323346 0.474261 0
 0.32523 0.480235 0
 0.323732 0.481246 0
 0.323342 0.483915 0
 0.322938 0.486587 0
 0.329125 0.49928 0
 0.334141 0.510343 0
 0.339091 0.521442 0
 0.330953 0.512416 0
 0.322875 0.503344 0
 0.326678 0.512782 0
 0.32187 0.508727 0
 0.326668 0.519889 0
 0.325046 0.520904 0
 0.323421 0.521915 0
 0.321793 0.52292 0
 0.312861 0.511975 0
 0.321639 0.530045 0
 0.316889 0.525906 0
 0.322437 0.538905 0
 0.319734 0.538188 0
 0.342653 0.585041 0
